title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Gleipnir;TV;11;2020;;Spring;Shuichi Kagaya an ordinary high school kid in a boring little town. But when a beautiful classmate is caught in a warehouse fire, he discovers a mysterious power: He can transform into a furry dog with an oversized revolver and a zipper down his back. He saves the girl's life, sharing his secret with her. But she's searching for the sister who killed her family, and she doesn't care how degrading it gets: She will use Shuichi to accomplish her mission...;['Pine Jam'];Action,Ecchi,Mystery,Sci Fi,Seinen,Aliens,Panty Shots,Superpowers,Based on a Manga
Sailor Moon R;TV;43;1993;1994;;With Queen Beryl defeated and her Dark Kingdom destroyed, Usagi and the rest of the Sailor Senshi have returned to their normal lives, with one exception: none of them have any recollections of ever being Senshi! When a new threat appears in town, will the girls regain their memories in time for Sailor Mars, Sailor Venus, Sailor Jupiter, Sailor Mercury and Sailor Moon to save the day once more? And just who is that little girl with the pink hair? Only time and transformations will tell!;['Toei Animation'];Comedy,Fantasy,Magical Girl,Romance,Shoujo,Amnesia,Contemporary Fantasy,Elemental Powers,Family Friendly,Henshin Heroes,Magic,Monster-of-the-week,Sentai,Tokusatsu,Urban Fantasy,Based on a Manga
Doraemon: Nobita at the Birth of Japan (2016);Movie;1;2016;2016;;Nobita comes up with the idea of running away from home because he is always being scolded at home and at school. Additionally, Gian, Shizuka, and Suneo all have their own reasons for running away from home. Together with Doraemon, they all travel through time to the Japan of 70,000 years ago.;['Shin-Ei Animation'];Adventure,Sci Fi,Shounen,Cats,Family Friendly,Non-Human Protagonists,Robots,Time Travel,Based on a Manga
The Seven Deadly Sins: Wrath of the Gods;TV;24;2019;2020;Fall;The Seven Deadly Sins may have ended the tyranny of The Ten Commandments for now, but that doesn't mean all is peaceful in the kingdom. Separated from the rest of The Sins, King and Diane strike a deal with former Commandments Gloxinia and Drole, and agree to undergo special training--which sends them to a Britannia 3,000 years in the past, right before the end of the Holy War! Can the pair navigate this strange past--and a threat more powerful than The Ten Commandments?;['Studio Deen'];Action,Adventure,Fantasy,Shounen,Demons,Magic,Medieval,Non-Human Protagonists,Overpowered Main Characters,Reincarnation,Royalty,Superpowers,Based on a Manga
Mirai Shounen Conan Movie;Movie;1;1979;1979;;;['Nippon Animation'];Adventure,Sci Fi,Based on a Novel
Is the order a rabbit?? ~Sing For You~;OVA;1;2019;2019;;;['production doA'];Comedy,Seinen,Slice of Life,Cafe,Coworkers,Iyashikei,Rabbits,Work Life,Based on a Manga
Phi Brain: Kami no Puzzle 2;TV;25;2012;2012;Spring;The battle with POG is over, but Kaito's determination to rid the world of lethal puzzles remains, stronger than ever. Alongside Ana, Cubic, Gammon and Nonoha, Kaito continues tackling each Puzzle of Fools he can find, taking them down with ease. But soon, the gang discovers that a new group known as the Orpheus Order is in town, and they're willing to do whatever it takes – even manipulating others around them – to achieve their ultimate, sinister goal: to learn more about the Orpheus amulet and force all of humanity to unlock their true potential, no matter the deadly cost. With new treacherous puzzles to solve and their friends' lives at stake, Kaito and the group must use their intellects once more to take down the Orpheus Order.;['Sunrise'];Adventure,High Stakes Games,Original Work
Shuffle!;TV;24;2005;2006;Summer;"Kaede is a devoted high school student who lives with her adopted brother Rin. She holds a quiet confidence that one day, when Rin finally starts showing interest in sex, he will make the obvious choice and turn to his loving sister. But what Kaede wasn’t counting on was the lords of heaven and hell coming to Earth, wanting Rin to mate with their nubile daughters! Rin, like any teenager would, takes full advantage of his newly acquired harem; but how long can he keep up his carefree, boxed-lunches-on-the-rooftop lifestyle, as the horde of girls on his tail grows?";['asread'];Comedy,Ecchi,Fantasy,Harem,Romance,Contemporary Fantasy,Panty Shots,Urban Fantasy,Based on an Eroge,Based on a Visual Novel
Wave, Listen to Me!;TV;11;2020;;Spring;The stage is Sapporo, Hokkaido. One night, our heroine, Minare Koda, spills her heartbroken woes to a radio station worker she meets while out drinking one night. The next day, she hears a recording of her pitiful grumbling being played live over the air. Minare storms into the station in a rage, only to then be duped by the station director into doing an impromptu talk show explaining her harsh dialogue. With just one recording, the many eccentric facets of Minare's life begin to pull every which direction as she falls ever deeper into the world of radio.;['Sunrise'];Comedy,Drama,Seinen,Slice of Life,Based on a Manga
JoJo's Bizarre Adventure;OVA;6;1993;1994;;Dio is a name that has haunted the Joestar family line for more than 100 years. In his pursuit of power, the vampiric martial artist has put Holly Joestar into a coma, and it is now up to her father Joseph and her son Jotaro to find Dio and restore her. Aided by their friends Polnaref and Abdul, the four warriors each command a powerful Stand -- a projection of their fighting will -- in tune with the cards of the Tarot. But Dio himself is said to possess a powerful and mysterious Stand known only as “The World”. Can Jotaro match Dio’s power with his “Star Platinum” and save his mother?;['Studio A.P.P.P.'];Action,Adventure,Fantasy,Shounen,Martial Arts,Proxy Battles,Superpowers,Based on a Manga
Beyblade: Burst God;TV;51;2017;2018;Spring;Second season of Beyblade: Burst.;['OLM'];Action,Shounen,Proxy Battles
Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side;TV;12;2017;2017;Spring;Ais Wallenstein’s life changed forever on the fateful day she met Bell Cranel, but while Bell's story launched him into his future, her story sends her deeper into her past. Within the dungeon’s treacherous depths, Ais and the other members of the Loki Familia encounter an irregularity that could threaten not just their party, but their entire world.;['J.C. Staff'];Action,Comedy,Fantasy,Romance,Dungeon,Guilds,RPG,Swordplay,Based on a Light Novel
Pom Poko;Movie;1;1994;1994;;In modern Japan, Tokyo is expanding and considerably reducing animals' habitats, including those of the tanuki (raccoon-like creatures). What humanity doesn't know, though, is that tanuki are intelligent creatures, that can talk and even walk on two legs with the power of transformations! To secure their survival, the two combating tanuki clans join forces against mankind in a war they dub 'Pom Poko'! Humans are a difficult adversary, though... can the tanuki open mankind's eyes to the beauty of nature, before their homes are replaced by yet another suburb?;['Studio Ghibli'];Adventure,Fantasy,Animal Protagonists,Anthropomorphic,Contemporary Fantasy,Environmental,Family Friendly,Japanese Mythology,Non-Human Protagonists
Dororo;TV;26;1969;1969;;Hyakkimaru is a young man who lacks 48 body parts because they were taken from him by demons before birth, as payment by his father, Kagemitsu Daigo, to obtain his wish to take over the country. When the baby boy was born he was missing 48 parts of his body, and thus was abandoned—thrown into a river. Hyakkimaru has grown up and now has obtained fake body parts so he can eliminate the 48 demons that were made from his body, and to retrieve his missing parts. Along for the adventure is the boy thief, Dororo, with whom he becomes friends.;['Mushi Production'];Action,Adventure,Shounen,Black and White,Curse,Deal with the Devil,Demons,Feudal Japan,Historical,Supernatural,World Masterpiece Theater,Based on a Manga
Mobile Suit Gundam I;Movie;1;1981;1981;;"It is Universal Century 0079, a time when the Earth Federation and the Principality of Zeon are locked in a bitter war over independence. Having just completed the prototype mobile suits known as Gundam, the space colony Green Noah finds itself under attack from the enemy – inadvertently plunging fifteen-year-old Amuro Ray into the cockpit of a Gundam. Now assigned to the new assault carrier White Base, both Amuro and other Gundam pilots must survive the vicious battles of Zeon as the war rages on. Amuro will soon see the true nature of war; will it consume him, or awaken something from within?";['Sunrise'];Mecha,Sci Fi,Military,Outer Space,Political,Rivalries,War
Inazuma Eleven GO: Kyuukyoku no Kizuna Gryphon;Movie;1;2011;2011;;Tenma, Shindou, Tsurugi, and the rest of the Raimon soccer team are busy practicing for their next match when they receive surprising news: they're being ordered to undergo secret training at an undisclosed location! But on their arrival the group soon discovers that this isn’t any normal training routine, it's punishment for refusing to follow match-fixing orders from Fifth Sector, the clandestine governing body of youth soccer. Stranded on an island and firmly in the clutches of the organization, Tenma and the gang are forced into a winner-take-all match against a team of experimentally trained, elite soccer players. With their freedom hanging in the balance, will Raimon be able to beat the odds and come out on top?;['OLM'];Sports,Island,Soccer,Based on a Video Game
Yomigaeru Sora -Rescue Wings-;TV;12;2006;2006;Winter;Kazuhiro Uchida has always dreamed of becoming a fighter pilot, but has been forced into the helicopter-training program instead. Embittered and discouraged, he still completes the training and is given his first position in a helicopter rescue unit. The catch? It’s located in a new town, far away from his loved ones. But the job of a rescue worker is incredibly demanding, both mentally and physically, and Kazuhiro’s less than enthusiastic attitude just won’t cut it. In order to succeed in his new career, Kazuhiro must survive the harsh reality of rescue work, and rediscover his dream.;['J.C. Staff'];Action,Drama,Aviation,Military,Work Life,Original Work
Canaan;TV;13;2009;2009;Summer;"In the present day, terrorism is on the rise and the Ua Virus – a biological agent with a 100% kill rate – has been unleashed into the populace. In Shanghai, Canaan is a near-unstoppable soldier who roams the streets, always in the path of a bullet. She is a Synesthetist – a person able to use all five senses at once – who harbors a burning desire for revenge and has a past shrouded in mystery. While the Ua Virus infects more people in the city, others cross paths with Canaan including Minoru, a freelance journalist; Maria, Canaan’s close friend who was infected with the Ua Virus and lost her memory of the incident; and The Snakes, a shady and violent group with mysterious motives. Danger lies at every turn for Canaan and ultimately the rest of mankind…";['P.A. Works'];Action,Mystery,Guns,Revenge,Terrorism,Based on a Visual Novel
Listen to Me, Girls, I'm Your Father! Warmth;DVD Special;1;2012;2012;;After winning a family trip to a hot springs resort, Yuta and the girls were followed by Raika, Kouichi and Shuntarou. Meanwhile, Raika has to deal with her burgeoning feelings for Yuta.;['feel.'];Slice of Life,Childcare,Single Parent,Based on a Light Novel
Seimei no Kagaku: Micro Patrol;TV;26;1987;1987;;;['Eiken'];Educational
Lupin III Special 18: Seven Days Rhapsody;TV Special;1;2006;2006;;"Lupin and Jigen are in New York and have decided on their latest heist: fixing a horse race in order to collect on the outrageous odds. The plans are set; all that’s left to do is wait. However whilst out buying ice, Lupin runs into a girl called Michelle who is being chased by three men. She asks him to steal a diamond from her father – a request that Lupin accepts; and so, after meeting up with Fujiko (who has her own job planned) and poaching Goemon from her, Lupin is ready to go! Meanwhile, Jigen runs into an old friend, who has a proposition for him – to steal a secret weapon from a security firm. But, when Lupin’s task takes him to Thailand, he begins to realize that the gang’s respective jobs are all intertwined. With a seven-day time limit, will Lupin and Jigen make it to the big race?";['TMS Entertainment'];Thieves
Armor Hunter Mellowlink;OVA;12;1988;1989;;;['Sunrise'];Sci Fi,Original Work
Neon Genesis Evangelion: Death and Rebirth;Movie;1;1997;1997;;"In a post-apocalyptic future, Tokyo III is under attack from mysterious creatures called Angels and only the mecha known as Evangelions can stand against them. Shinji Ikari is a lonely and disturbed boy who was specially selected to be one of the three child pilots for the Evangelions; however, fighting his fears and battling alien creatures are two very different things, and neither is easy. Can Shinji conquer his weaknesses in time to save humanity, or will his confused emotions and the Angels doom the entire world to extinction?";['Tatsunoko Production', 'Gainax', 'Production I.G'];Mecha,Military,Post-apocalyptic,Psychological,Super Robot,Original Work
Amagami SS OVA;OVA;6;2011;2011;;;['AIC'];Romance,School Life,Short Episodes,Based on a Visual Novel
Tentai Senshi Sunred Specials;DVD Special;4;2009;2009;;"Vamp is as kind and considerate as ever, so when Kayoko goes away for a week, the “evil overlord” takes it upon himself to deliver lunch to Sunred; unfortunately the bad-tempered superhero seems reluctant to accept the gesture. Then, Florsheim’s animal soldiers prove that they have other uses, especially around the house...";['AIC A.S.T.A.'];Comedy,Seinen,Gag,Monsters,Parody,Superheroes,Based on a Manga
KINMOZA! Pretty Days;OVA;1;2016;2016;;The school festival is on the horizon and something is off with Shinobu. She says she's been very sleepy in the mornings lately, and it seems she has pushed herself too hard working on the scripts and costumes for their class play. Alice and Youko, who are in another class, notice her circumstances.;['Studio Gokumi'];Comedy,Seinen,Slice of Life,School Life,Based on a 4-Koma Manga,Based on a Manga
Air Gear: Special Trick;DVD Special;1;2007;2007;;Still reeling from Simca's offer to take over as the leader of Genesis, Ikki quickly finds himself as the latest target of team Potemkin’s octuplets. The group's ruthless attitude towards money is the perfect excuse to challenge Kogarasumaru, and boys being boys, Kazu and Ikki are quick to accept the challenge. Now faced with a circuit of hurdles atop precariously-drifting boats, the duo will need a lot of luck and skill to win this battle. Are they up to the challenge, or do the brothers have too much of an advantage with their maritime experience?;['Toei Animation'];Shounen,Based on a Manga
Petite Princess Yucie;TV;26;2002;2003;Fall;Meet Yucie, a girl under a spell. Yucie wants to be a Platinum Princess, and the only way to do that is to attend the Princess Academy. But that's not as easy as it sounds. Under the guidance of Queen Ercell and with the unwitting help of a schoolmate named Glenda (who just so happens to be a princess from the Demon World,) Yucie finds herself embarking on an epic quest to obtain the Eternal Tiara!;['AIC', 'Gainax'];Comedy,Fantasy,Romance,Family Friendly,Magic,Original Work
You're Under Arrest: Mini-Specials;TV;20;1999;1999;Spring;Life is dandy and downright good at times, but such moments usually don't last for long. Especially not if there are perverts on the prowl, ready to risk their lives for a pair of silk panties or video footage from the girl's locker room! Not to mention young punks who think they own the neighborhood, or celebrities who think they're above the law!;['Studio Deen'];Comedy,Seinen,Slice of Life,Episodic,Gag,Police,Short Episodes,Based on a Manga
Record of Grancrest War;TV;24;2018;2018;Winter;"Atlatan, a land ruled by chaos. Fearing disaster brought about by chaos, the people lived protected by “Lords;” those with the power of “Crests,” used to suppress the chaos. However, the Lords decided to abandon the concept of protecting the people and turn against each other, stealing each other’s Crests to gain dominion over one another. Among these people are Siluca, a lone mage who despises the Lords, and Theo, a vagrant knight training to someday liberate his homeland. Enticed by Theo’s ideals, Siluca’s coercive tactics have the two forming a contract and together, reform a war-torn land.";['A-1 Pictures'];Action,Adventure,Drama,Fantasy,Demons,Magic,Political,Swordplay,War,Based on a Light Novel
Legend of the Condor Hero III;TV;26;2008;2008;;Third season of Legend of the Condor Hero.;['Jade Animation'];Martial Arts
Gokinjo Monogatari;TV;50;1995;1996;Summer;"Sixteen-year-old Mikako Kouda has two loves in her life: fashion, and her childhood friend Tsutomu Yamaguchi. Though she dreams of creating her own clothing brand someday, Mikako's true desires lie with Tsutomu - but there's a problem: he's dating the voluptuous and highly-sought-after ""Body-Ko!"" The two longtime companions seem to have feelings for each other, but school, other relationships and additional obstacles continue to stand in their way. Will Mikako and Tsutomu ever be together?";['Toei Animation'];Comedy,Drama,Romance,Shoujo,Fashion,Love Triangle,School Life,Based on a Manga
Servamp Specials;DVD Special;3;2016;2017;;;[];Comedy,Josei,Master-Servant Relationship,Supernatural,Vampires,Based on a Manga
Sunday Without God;TV;12;2013;2013;Summer;"God forsook the world on a Sunday, leaving mankind unable to stop living - even long after they've died. The sole hope left for humanity comes in the form of gravekeepers; only a burial by one of these chosen few will allow the deceased to finally rest in peace. Ai is a young girl who serves as gravekeeper for her sleepy village, taking over the job after her mother’s death five years ago. However the tranquility is shattered when Ai returns from digging graves to find that everyone in town has been slaughtered, and the culprit is a young man going by the same name as her long-lost father: Hampnie Hambart. Forced to lay to rest everyone she's ever known, Ai must now forge her own path into the unfamiliar world in search of answers.";['MADHOUSE'];Adventure,Drama,Fantasy,Curse,Melancholy,Orphans,Post-apocalyptic,Based on a Light Novel
Hungry Days x Bump of Chicken: Kinen Satsuei;Music Video;1;2019;2019;;;[];Drama,Commercials,Food and Beverage,Parody,Promotional,School Life,Based on a Manga
Joker 2;;13;2015;2015;Spring;Mysterious Joker and his partner Hachi continue their treasure hunting travels around the world while being pursued by Detective Oniyama and other members of the police force.;['Shin-Ei Animation'];Comedy,Shounen,Thieves,Based on a Manga
Pet Shop of Horrors;OVA;4;1999;1999;;"At Count D's pet shop, you can acquire any form of animal, from an ordinary canary, to more.. ""exotic"" creatures. Made to sign a contract before purchase, Count D claims no ""responsibility for actions incurred"" if the purchaser does not follow its instructions completely, as results can be fatal. Patrons of this shop are able to get the rarest of creatures, but often, their purchases are coupled with demons from their past that won't go away easily.";['MADHOUSE'];Horror,Josei,America,Deal with the Devil,Detectives,Episodic,Mysterious Shop,Supernatural,Based on a Manga
Nanbaka: Idiots with Student Numbers!;Other;1;2017;2017;;Seitarou Tanabata is all fired up for his first teaching job at a high school But Nanba Building 13 High School l is filled with delinquents. The students are troublemakers and even the teachers are odd. Seitarou is already bullied by 4 students in the 3rd year, class 13 on his first day. Then, the number 1 troublemaker, Hajime Sugoroku, returns after serving his suspencion. Can Seitarou ever become the teacher he always wanted to be?;['Satelight'];Action,Comedy,Island,Prison,School Life,Based on a Manga
Monster Strike the Movie 2: Sora no Kanata;Movie;1;2018;2018;;"When one part of Tokyo broke off and began to float in the sky. Tokyo was separated into ""Old Tokyo"" as the part that was floating in the air, and ""New Tokyo,"" the part that stayed on the ground. Communication and interaction between the two Tokyos was impossible, and years passed. One day, a young girl perceives that Old Tokyo will fall back down to the ground, and she sets out on the perilous path from from Old Tokyo to New Tokyo to save the citizens from the impending crisis.";['Orange'];Action,Fantasy,Monsters,Based on a Mobile Game,CG Animation
Moyashimon Returns;TV;11;2012;2012;Summer;MOYASHIMON RETURNS picks up where the last season left off as our protagonist Tadayasu Sawaki, a first-year college student at an agricultural university, continues to have the unique ability to see and communicate with micro-organisms and bacteria. Still alongside good friend Kei Yuuki, whose family runs a sake brewery, he devolves an even deeper understanding of bacteria world with his special ability!;['Shirogumi Inc.', 'Telecom Animation Film'];Comedy,Seinen,Agriculture,College,Educational,noitaminA,School Life,Based on a Manga
Ushio and Tora;OVA;10;1992;1993;;In the distant past, a ferocious monster plagued the land. This creature of fury was finally subdued when a traveler challenged it to a battle and drove a spear into its body, pinning it to a massive rock. A temple was built above it, and thus, the house of Aotsuki was founded. Fast forward to the present, when young Ushio Aotsuki unwittingly releases the beast and names him Tora, much to the monster's dismay. Now, with plenty of stray demons wandering the city, Ushio must defeat the evil with the ancient spear, before being eaten by Tora as a snack!;['Pastel'];Action,Comedy,Shounen,Supernatural,Based on a Manga
The Garden of Sinners: Epilogue;OVA;1;2011;2011;;"March 1999: Mikiya Kokutou meets ""Shiki Ryougi"" again at the same place where he met her for the first time four years ago…";['ufotable'];
Ze Tian Ji 3rd Season;Web;12;2017;2017;;Third season of Ze Tian Ji.;['Foch'];Action,Adventure,Chinese Animation,Cultivation,Based on a Novel
Ganbare Genki;TV;35;1980;1981;;Genki Horiguchi is a young boy whose mother was killed during his birth, and who lives in poverty with his father, a retired professional boxer. All Genki wants is for his father to win in the World Championship, and motivated by his son’s persistence, his father, Shark Horiguchi, decides to pick up the gloves once more. However, once tragedy strikes, the young Genki must focus on his life and his own boxing abilities in order to achieve his ultimate goal.;['Toei Animation'];Action,Shounen,Sports,Boxing,Hand to Hand Combat,Based on a Manga
Genius Party Beyond;Other;5;2008;2008;;"In five beautiful and unique fantasy worlds, five different tales unfold. A young boy worries about his pregnant mother; a mismatched group hunts down a legendary treasure on the Giant’s Isle; and a small village must determine the fate of a giant fallen meteor. These stories and more unwind to a musical backdrop in a world as varied and interesting as the next.";['Studio 4°C'];Collections
Love, Chunibyo & Other Delusions! Lite;Web;6;2012;2012;Fall;"When one is afflicted with chuunibyou syndrome, a ""disease"" that makes one prone to delusional flights of fancy, even the most mundane, everyday tasks can turn into an epic saga. For chuunibyou-sufferer Rikka, formerly-ill Yuuta and the rest of their friends, learning to play volleyball, an evening stroll through the park, or just going shopping for dinner become noteworthy events given Rikka's zany tendencies! And will a look at Rikka and Yuuta's mysterious pasts explain it all, or just raise more questions?";['Kyoto Animation'];Comedy,School Life,Short Episodes,Based on a Light Novel
"The Familiar of Zero: ""Rondo"" of Princesses - Seductive Beach";DVD Special;1;2008;2008;;"Since the trip to the great cathedral in Romalia has been cancelled, the students at Tristain Academy are heading to the beach for summer vacation; though when they arrive, both Saito and Guiche are disappointed at the girls' reserved swimming costumes. Luckily, help is at hand as Principal Ottoman just so happens to have located a large chest full of seductive swimwear in an aristocrat's manor and orders the young ladies to change into them! With the boys attempting to con the girls into wearing even skimpier bikinis and Louise hoping to secure a moonlit stroll on the beach with Saito, it's sure to be an eventful summer break for the Tristain students.";['J.C. Staff'];Comedy,Ecchi,Master-Servant Relationship
Angels of Death (Web);Web;4;2018;2018;Fall;Episodes 13-16 of Angels of Death.;['J.C. Staff'];Action,Drama,Horror,Mystery,Criminals,Orphans,Psychological,Serial Killers,Thriller,Based on a Video Game
Tamayura: Hitotose Special;DVD Special;1;2012;2012;;;['TYO Animations'];Photography,Original Work
Polar Bear Cafe;TV;50;2012;2013;Spring;Welcome to the Polar Bear Café, a place where humans and animals alike can sit back, relax, and order a cup of hot tea, an iced coffee, or even a hearty plate of bamboo. Run under the watchful gaze of Polar Bear, the café is frequented by a lively cast of characters including a lazy panda who works part time at the zoo, a cantankerous penguin with an unrequited crush and a wise llama, amongst others. Join the denizens of the café as they enjoy delicious beverages, indulge in a cherry blossom festival, and even discuss the newest smartphone models!;['Studio Pierrot'];Comedy,Josei,Slice of Life,Animal Protagonists,Anthropomorphic,Bears,Cafe,Non-Human Protagonists,Work Life,Zoo,Based on a Manga
Joshiraku;TV;13;2012;2012;Summer;Marii, Kigurumi, Tetora, Gankyou and Kukuru are five young women with completely different interests and personalities, but there's one thing that they all share: performing Rakugo, a unique form of Japanese comic theatre in which a single artist sits in front of an audience and tells an entire story, portraying multiple characters solely through changes of voice and minimal movements. It's a challenging art but all five of our leading ladies are determined to become the best they can… and in the meantime, they find themselves hanging out together, both at the Rakugo theater and around town. And they also have a shared acquaintance, a mysterious stranger who's always wearing a wrestling mask! What's that about?;['J.C. Staff'];Comedy,Shounen,Slice of Life,Animeism,Apprenticeship,Breaking the Fourth Wall,Gag,Parody,Rakugo,Satire,Based on a Manga
Fafner: Right of Left;TV Special;1;2005;2005;;Mankind is close to being wiped out from the face of the earth from a being known as Festum. Tatsumiyajima Island is a calm place where children can live their lives at peace, but the inhabitants must now move into combat to keep the citizens safe from the Festum assimilating them. Kyo and Yumi are average students who have signed up for Plan L: an operation to fight for their island using the new Fafner TSX model. Together, the 8 pilots and 4 Fafners will fight to preserve both the peace of their island, and their faith that one day, they will make it home… alive.;['XEBEC'];Action,Mecha,Aliens,Post-apocalyptic,Psychological,Original Work
Hi no Tori: Yamato Hen;OVA;1;1987;1987;;;['MADHOUSE'];Fantasy,Romance,Feudal Japan,Based on a Manga
Genshiken: Second Generation OVA;OVA;1;2013;2013;;;['Production I.G'];Comedy,Drama,Seinen,Slice of Life,Otaku Culture,Parody,Satire,Based on a Manga
Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari Da Nyan!;Movie;1;2015;2015;;;['OLM'];Family Friendly,Japanese Mythology,Supernatural,Youkai,Based on a Video Game
Baki;Web;26;2018;2018;Summer;The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world. Five of the world's most violent and brutal death row inmates are gathering to face Baki. Their objective is to taste defeat -- their unmatched strength and skill have led them to grow bored of life itself, and they now seek out Baki in the hopes that he can overwhelm and utterly crush them. In this crisis, other underground martial art warriors gather to fight by Baki's side: Kaoru Hanayama, Gouki Shibukawa, Retsu Kaioh, and Doppo Orochi. An epic showdown between violent death row inmates and Baki and his friends begins!;['TMS Entertainment', 'Double Eagle'];Action,Shounen,Sports,Hand to Hand Combat,Psychopaths,Based on a Manga
Ayakashi: Japanese Classic Horror;TV;11;2006;2006;Winter;"The dark and brooding Ayakashi is composed of three horror stories: the narration of a young woman named Oiwa who was abandoned and betrayed by the one she truly loved, leading her to curse all who stood in her way; a story of two star-crossed lovers – a human and a forgotten god – and their struggle to have a future together; and the tale of an evil and malicious demon who is haunting and murdering a family for unknown purposes. Though different in animation style and tone, each story shares a similar theme: the darkness of the human heart.";['Toei Animation'];Fantasy,Horror,Collections,Demons,Episodic,Japanese Mythology,noitaminA,Youkai,Based on a Novel,Original Work
New Getter Robo;TV;13;2004;2004;Spring;"Humanity is under attack by the Oni - fierce demons of unknown origin - that can only be defeated by Dr. Saotome's Getter Ray-powered robots. However, these robots are only a stopgap, buying time for the next generation of Getter-powered robot: Getter Robo. Able to change shape into three combinations to suit the current task, and vastly more powerful than its predecessors, Getter Robo requires three pilots to fully utilize it. Dr. Saotome selects three interesting individuals for the task: Ryoma Nagare, a headstrong martial artist; Hayato Jin, a power hungry terrorist; and Benkei Musashibou, a bear of a man who has turned to the way of Buddha. Together, these oddly-matched teammates must find out where the Oni come from and stop the threat that they pose.";[];Mecha,Combining Mecha,Demons,Super Robot
Saki;TV;25;2009;2009;Spring;"Winning a game of Mahjong is hard; getting the same score every time is practically impossible. So imagine the surprise of the school Mahjong club when Saki Miyanaga walks in and does just that. Despite her dislike for the game, her talent is obvious and it's up to the club members - the top-heavy Nodoka, the energetic Yuuki, the cunning Mako and the permanently in control club president Hisa - to persuade her to join the club and help them reach the Nationals. But even then, will their combined skills be enough to overturn some of the toughest high school players the country has to offer?";['Picture Magic', 'GONZO'];Comedy,Ecchi,Seinen,Board Games,Mahjong,School Club,School Life,Tournaments,Based on a Manga
Patlabor: The Movie;Movie;1;1989;1989;;Throughout Tokyo, a frightening number of construction Labors have begun to suddenly go berserk and violently malfunction. The growing chaos of Tokyo is overshadowed by the looming edifice of the Babylon Project, the lynchpin of Japan's plan to reclaim the land under Tokyo Bay. To make matters worse, its lead architect recently committed suicide by throwing himself off of it into the waves below. How will the Metropolitan Police's Division 2 investigate the malfunctions in the midst of world-wide destruction, when the reliability of their own Labors lies in doubt?;['Production I.G', 'Studio Deen'];Mecha,Sci Fi,Police,Real Robot,Original Work
Sankarea OVA;OVA;2;2012;2012;;;['Studio Deen'];Shounen,Supernatural,Zombies,Based on a Manga
Trinity Blood;TV;24;2005;2005;Spring;"In a post-apocalyptic future, Abel Nightroad does occasional dangerous work for the Vatican, to whom he is extremely loyal. While the apocalyptic war has long been over, humanity is still entrenched in a shadow war against the vampires. Lady Catherine, the leader of his operations group ""AX,"" seeks to prevent a renewed full-scale conflict, but there are many forces on both sides bent towards war. As Abel and the rest of AX try to stop this, he encounters a young girl who will be the key to humanity's survival or demise. Now, Abel must not only fight for humanity, but also try to face his regrettable past...";['GONZO'];Action,Sci Fi,Episodic,Post-apocalyptic,Religion,Supernatural,Vampires,Based on a Light Novel
Ghost in the Shell: Stand Alone Complex - Individual Eleven - Tachikoma Days;DVD Special;1;2006;2006;;CEO Jameson is dead! With the gray machine lying lifeless on the ground, a group of Tachikoma ponder what happened. Several of them had a motive – who performed this terrible deed?;['Production I.G'];Comedy,Non-Human Protagonists,Robots,Based on a Manga
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha;OVA;1;2017;2017;;;['Lerche'];Mystery,High Stakes Games,Play or Die,Psychological,Based on a Video Game
The case files of Jeweler Richard;TV;12;2020;2020;Winter;"One night, a college student with a strong sense of justice, Seigi Nakata, saved a gorgeous foreigner, Richard, who was being harassed by some drunks. When Seigi found out that Richard was a jeweler, he asked for an appraisal on a ring with a shady history; one which his grandmother had kept secret until she died. The appraisal had revealed her past, truth, and desire. It led Seigi to work as a part-time employee for Richard’s jewelry store, the “Jewelry Etranger” in Ginza. While solving various “mysteries” introduced to the Jewelry Etranger, the relationship between Richard and Seigi gradually changes. However, each of them has secrets they have not told anyone.";['Shuka'];Drama,Mystery,Based on a Light Novel
Sabagebu! Survival Game Club;TV;12;2014;2014;Summer;"Momoko's family moves a lot, so she's always ""that new girl"" and the schools she's attended have all blurred together. Until her first day at Aogiri High, that is, where she's rescued by an armed vigilante, assaulted by a platypus and coerced into joining a secret organization of gun-toting female commandos. Okay, maybe that last one is really just the school's survival club, but the platypus is real and so are the extremes that club president Miou is willing to execute to recruit Momoko. Can uber-jaded Momoko's body armor-clad heart resist the charms of a girl who's all too ready to whip out her twin Desert Eagles in defense of another girl's virtue? Especially when it turns out that Momoko has her own talent for air pistols and senseless violence? ";['St. Signpost'];Comedy,Shoujo,Breaking the Fourth Wall,Gag,Guns,School Club,School Life,Slapstick,Based on a Manga
